# Intensity Error |Q|
#  shape: 30
4.903534e+00 3.268484e-01 2.958333e-01
4.602557e+00 1.629423e-01 3.875000e-01
3.314777e+00 1.071561e-01 4.791667e-01
2.601335e+00 8.743208e-02 5.708333e-01
2.738773e+00 8.858198e-02 6.625000e-01
2.872788e+00 1.041515e-01 7.541667e-01
2.623610e+00 1.025886e-01 8.458333e-01
2.237364e+00 9.247162e-02 9.375000e-01
2.265592e+00 9.626031e-02 1.029167e+00
2.483658e+00 9.011174e-02 1.120833e+00
2.459529e+00 9.955882e-02 1.212500e+00
2.039975e+00 8.569949e-02 1.304167e+00
2.327492e+00 8.740744e-02 1.395833e+00
1.891734e+00 8.422000e-02 1.487500e+00
2.632957e+00 1.164986e-01 1.579167e+00
2.394949e+00 1.070847e-01 1.670833e+00
2.565244e+00 1.137662e-01 1.762500e+00
2.850776e+00 1.262463e-01 1.854167e+00
2.671775e+00 1.197724e-01 1.945833e+00
2.876937e+00 1.184329e-01 2.037500e+00
3.015559e+00 1.256053e-01 2.129167e+00
2.990432e+00 1.171773e-01 2.220833e+00
2.816853e+00 1.108817e-01 2.312500e+00
2.769002e+00 1.233870e-01 2.404167e+00
2.564556e+00 1.045030e-01 2.495833e+00
3.195565e+00 1.309289e-01 2.587500e+00
3.439935e+00 1.342580e-01 2.679167e+00
2.796621e+00 1.131467e-01 2.770833e+00
2.870548e+00 1.123223e-01 2.862500e+00
3.447666e+00 1.258523e-01 2.954167e+00
