# Intensity Error |Q| DeltaE
#  shape: 15x14
nan nan 1.000000e-01 5.357143e-01
nan nan 1.000000e-01 1.607143e+00
nan nan 1.000000e-01 2.678571e+00
nan nan 1.000000e-01 3.750000e+00
nan nan 1.000000e-01 4.821428e+00
nan nan 1.000000e-01 5.892857e+00
nan nan 1.000000e-01 6.964285e+00
nan nan 1.000000e-01 8.035714e+00
nan nan 1.000000e-01 9.107143e+00
nan nan 1.000000e-01 1.017857e+01
nan nan 1.000000e-01 1.125000e+01
nan nan 1.000000e-01 1.232143e+01
nan nan 1.000000e-01 1.339286e+01
nan nan 1.000000e-01 1.446429e+01
-5.819494e+00 2.318484e+00 3.000000e-01 5.357143e-01
-1.286982e+00 1.073650e+00 3.000000e-01 1.607143e+00
1.247733e+00 5.839582e-01 3.000000e-01 2.678571e+00
4.629326e-01 7.721530e-01 3.000000e-01 3.750000e+00
nan nan 3.000000e-01 4.821428e+00
nan nan 3.000000e-01 5.892857e+00
nan nan 3.000000e-01 6.964285e+00
nan nan 3.000000e-01 8.035714e+00
nan nan 3.000000e-01 9.107143e+00
nan nan 3.000000e-01 1.017857e+01
nan nan 3.000000e-01 1.125000e+01
nan nan 3.000000e-01 1.232143e+01
nan nan 3.000000e-01 1.339286e+01
nan nan 3.000000e-01 1.446429e+01
-3.475365e+00 1.777397e+00 5.000000e-01 5.357143e-01
-5.638403e-01 7.160834e-01 5.000000e-01 1.607143e+00
3.389477e-01 3.427995e-01 5.000000e-01 2.678571e+00
-1.048558e-01 2.997878e-01 5.000000e-01 3.750000e+00
6.226336e-01 2.928126e-01 5.000000e-01 4.821428e+00
-4.982758e-01 5.140811e-01 5.000000e-01 5.892857e+00
7.043466e+00 2.582875e+00 5.000000e-01 6.964285e+00
nan nan 5.000000e-01 8.035714e+00
nan nan 5.000000e-01 9.107143e+00
nan nan 5.000000e-01 1.017857e+01
nan nan 5.000000e-01 1.125000e+01
nan nan 5.000000e-01 1.232143e+01
nan nan 5.000000e-01 1.339286e+01
nan nan 5.000000e-01 1.446429e+01
-7.353076e-01 1.925232e+00 7.000000e-01 5.357143e-01
5.767858e-01 7.803990e-01 7.000000e-01 1.607143e+00
2.782284e-02 3.570134e-01 7.000000e-01 2.678571e+00
2.290655e-01 3.161268e-01 7.000000e-01 3.750000e+00
8.847552e-02 2.738802e-01 7.000000e-01 4.821428e+00
4.604339e-01 2.840028e-01 7.000000e-01 5.892857e+00
-2.511054e-01 2.961129e-01 7.000000e-01 6.964285e+00
3.224154e-01 4.152770e-01 7.000000e-01 8.035714e+00
6.541050e-01 3.700621e+00 7.000000e-01 9.107143e+00
nan nan 7.000000e-01 1.017857e+01
nan nan 7.000000e-01 1.125000e+01
nan nan 7.000000e-01 1.232143e+01
nan nan 7.000000e-01 1.339286e+01
nan nan 7.000000e-01 1.446429e+01
