Freq	3K	5K	8K	10K	12K	14K	16K	18K	20K	22K	25K	30K	40K	50K	70K	100K	125K	297K	3K_er	5K_er	8K_er	10K_er	12K_er	14K_er	16K_er	18K_er	20K_er	22K_er	25K_er	30K_er	40K_er	50K_er
0.2195745	0.725717	0.724937	0.731034	0.727702	0.731253	0.733269	0.727488	0.728105	0.726739	0.728631	0.733268	0.720696	0.713384	0.704934	0.665912	0.639442	0.601935	0.244766	0.00528036	0.00527469	0.00531905	0.0052948	0.00532064	0.00533531	0.00529324	0.00529773	0.0052878	0.00530156	0.0053353	0.00524383	0.00519062	0.00512914
0.2342128	0.717595	0.716266	0.722553	0.719901	0.723625	0.725676	0.720963	0.72197	0.720595	0.722869	0.727911	0.715257	0.707693	0.698842	0.662982	0.635253	0.596958	0.226678	0.00590305	0.00589212	0.00594383	0.00592202	0.00595265	0.00596952	0.00593075	0.00593904	0.00592773	0.00594643	0.00598791	0.00588382	0.00582159	0.00574879
0.2488511	0.70063	0.69898	0.705486	0.703376	0.707495	0.709382	0.705159	0.706641	0.705191	0.707731	0.712806	0.700137	0.692171	0.683092	0.649584	0.620018	0.57987	0.202699	0.00669847	0.0066827	0.0067449	0.00672473	0.00676411	0.00678215	0.00674178	0.00675595	0.00674208	0.00676637	0.00681489	0.00669376	0.00661761	0.0065308
0.2634894	0.675842	0.67426	0.68093	0.679162	0.68384	0.685496	0.681314	0.683256	0.68158	0.684333	0.688997	0.676504	0.668076	0.658906	0.62647	0.595408	0.553541	0.176603	0.00726151	0.00724452	0.00731618	0.00729719	0.00734745	0.00736524	0.00732031	0.00734117	0.00732316	0.00735274	0.00740285	0.00726863	0.00717807	0.00707954
0.2781277	0.645946	0.644823	0.651523	0.649917	0.655222	0.656681	0.65227	0.654597	0.6525	0.65545	0.659314	0.647214	0.638405	0.629179	0.596531	0.564987	0.522516	0.153007	0.00734915	0.00733637	0.00741259	0.00739432	0.00745468	0.00747128	0.00742109	0.00744756	0.00742372	0.00745728	0.00750124	0.00736357	0.00726335	0.00715838
0.292766	0.614582	0.614115	0.620635	0.61912	0.624981	0.626344	0.621603	0.624209	0.621535	0.624652	0.627489	0.615937	0.606948	0.597595	0.563911	0.532951	0.491278	0.135327	0.00691934	0.00691408	0.00698748	0.00697043	0.00703641	0.00705176	0.00699838	0.00702772	0.00699761	0.00703271	0.00706465	0.00693459	0.00683339	0.00672808
0.3074043	0.585339	0.585412	0.591495	0.590167	0.596342	0.597746	0.592707	0.59547	0.592181	0.595373	0.597184	0.586246	0.577315	0.567702	0.53291	0.503017	0.46307	0.124807	0.00613923	0.00614	0.00620379	0.00618986	0.00625464	0.00626936	0.00621651	0.00624549	0.00621099	0.00624447	0.00626346	0.00614874	0.00605507	0.00595425
0.3220426	0.560864	0.561121	0.566519	0.565605	0.571723	0.573301	0.568088	0.57089	0.567102	0.5702	0.571219	0.560887	0.552186	0.542209	0.506875	0.477742	0.439607	0.120718	0.00529386	0.00529628	0.00534724	0.0053386	0.00539635	0.00541124	0.00536205	0.00538849	0.00535273	0.00538198	0.00539159	0.00529407	0.00521195	0.00511777
0.3366809	0.542385	0.542468	0.547034	0.546749	0.552447	0.554284	0.549069	0.551821	0.547744	0.550564	0.551161	0.541396	0.532968	0.522627	0.487462	0.458369	0.421468	0.120724	0.00458055	0.00458126	0.00461981	0.0046174	0.00466553	0.00468104	0.004637	0.00466024	0.00462581	0.00464963	0.00465467	0.0045722	0.00450102	0.00441369
0.3513192	0.529846	0.529638	0.533375	0.533777	0.538874	0.540971	0.535921	0.538588	0.534417	0.536849	0.537358	0.528132	0.519893	0.509302	0.474601	0.445024	0.408612	0.121485	0.00395297	0.00395141	0.00397929	0.00398229	0.00402032	0.00403597	0.00399829	0.00401819	0.00398707	0.00400521	0.00400901	0.00394018	0.00387871	0.0037997
0.3659575	0.522496	0.522146	0.525208	0.526159	0.530714	0.532991	0.52823	0.530821	0.526665	0.528725	0.529286	0.520594	0.512402	0.501707	0.467154	0.43703	0.400567	0.120066	0.0032246	0.00322244	0.00324133	0.0032472	0.00327532	0.00328936	0.00325999	0.00327598	0.00325033	0.00326304	0.0032665	0.00321286	0.0031623	0.0030963
0.3805958	0.519413	0.519163	0.521772	0.523043	0.527259	0.529589	0.525195	0.527734	0.52363	0.525432	0.525957	0.517785	0.509521	0.498795	0.463722	0.433211	0.396379	0.115285	0.00232202	0.0023209	0.00233256	0.00233825	0.0023571	0.00236751	0.00234787	0.00235922	0.00234087	0.00234893	0.00235128	0.00231474	0.0022778	0.00222985
0.3952341	0.519654	0.519622	0.521994	0.523399	0.527469	0.529734	0.525746	0.52825	0.524225	0.525904	0.526184	0.518469	0.510077	0.499284	0.463118	0.432186	0.394682	0.107888	0.00139778	0.0013977	0.00140408	0.00140786	0.00141881	0.0014249	0.00141417	0.00142091	0.00141008	0.0014146	0.00141535	0.0013946	0.00137202	0.00134299
