Freq	3K	5K	10K	15K	20K	25K	30K	35K	40K	50K	70K	100K	125K	150K	175K	200K	225K	250K	275K	296K
0	0.384661	0.207092	0.476034	0.468359	0.588278	0.500799	0.480136	0.458665	0.535919	0.665627	0.691673	0.708581	0.538998	0.0502548	0.174299	0.187215	0.844654	0.879067	1.25782	0.581137
0.00182979	0.410138	0.280035	0.499364	0.489663	0.602059	0.518801	0.500402	0.477694	0.556553	0.675096	0.700865	0.719485	0.553066	0.178826	0.273445	0.265893	0.864827	0.891471	1.27121	0.623943
0.00365958	0.477453	0.427753	0.562542	0.547701	0.640995	0.568621	0.555887	0.529895	0.613347	0.702335	0.727358	0.750774	0.592694	0.344154	0.452231	0.418491	0.921254	0.92693	1.30961	0.734646
0.00548937	0.569472	0.592107	0.651482	0.63008	0.699218	0.640876	0.635152	0.604694	0.695044	0.744285	0.768303	0.798763	0.651716	0.506375	0.640099	0.584035	1.00405	0.980874	1.36827	0.881172
0.00731916	0.672751	0.756245	0.753545	0.725333	0.769938	0.726075	0.727296	0.691951	0.790544	0.79697	0.819941	0.858736	0.723205	0.661314	0.82176	0.74657	1.10199	1.04741	1.44085	1.03952
0.00914895	0.778989	0.913742	0.859987	0.825311	0.847146	0.816896	0.824365	0.784221	0.891477	0.856377	0.878424	0.926024	0.801223	0.806473	0.991248	0.899964	1.20536	1.12069	1.52074	1.19541
0.01097874	0.883156	1.06111	0.965128	0.924621	0.926141	0.908189	0.920991	0.876461	0.992071	0.918963	0.9403	0.996576	0.881231	0.939956	1.14518	1.04085	1.30683	1.19565	1.60201	1.34049
0.01280853	0.982058	1.1961	1.06523	1.01968	1.00341	0.996405	1.01357	0.96527	1.0884	0.981816	1.00269	1.06711	0.959906	1.06035	1.28146	1.16711	1.40121	1.26824	1.67978	1.46988
0.01463832	1.07358	1.31719	1.15781	1.10806	1.07642	1.07908	1.09966	1.04832	1.1778	1.04263	1.0633	1.13508	1.03483	1.16667	1.39892	1.27749	1.48507	1.33542	1.75035	1.58084
0.01646811	1.1563	1.42338	1.24117	1.18812	1.14332	1.15452	1.17759	1.12402	1.25844	1.09966	1.12034	1.19854	1.10428	1.25838	1.49713	1.37133	1.5563	1.39502	1.81105	1.67205
0.0182979	1.22927	1.51417	1.31425	1.25876	1.20286	1.22156	1.24627	1.19129	1.32915	1.15156	1.17247	1.25606	1.16702	1.33532	1.57627	1.44855	1.61382	1.44558	1.8602	1.74325
0.02012769	1.29195	1.58941	1.3764	1.31933	1.25419	1.27948	1.30503	1.24946	1.38923	1.1974	1.21871	1.30663	1.2222	1.39769	1.63702	1.50946	1.65729	1.48626	1.89686	1.79494
0.02195748	1.3441	1.64931	1.42735	1.36952	1.29683	1.3279	1.35356	1.29817	1.43835	1.23653	1.25837	1.34957	1.2693	1.44594	1.6804	1.55477	1.68694	1.51667	1.92069	1.82813
0.02378727	1.38571	1.69436	1.46715	1.40928	1.3306	1.36668	1.39181	1.33733	1.47653	1.26857	1.29104	1.38449	1.30804	1.48082	1.70774	1.58541	1.70342	1.53679	1.93187	1.8442
0.02561706	1.41702	1.72529	1.49604	1.43881	1.35554	1.39594	1.41999	1.36706	1.504	1.29335	1.31652	1.41125	1.33836	1.50321	1.72052	1.60254	1.70765	1.54693	1.93093	1.84477
0.02744685	1.43842	1.74302	1.5145	1.45849	1.37187	1.41598	1.43848	1.38767	1.52121	1.3109	1.3348	1.4299	1.36038	1.51414	1.72032	1.60742	1.70072	1.54758	1.91865	1.83157
0.02927664	1.45046	1.74859	1.52315	1.46885	1.38	1.42726	1.44782	1.39961	1.52878	1.32138	1.34601	1.44067	1.37438	1.51474	1.70875	1.60139	1.68387	1.53941	1.89601	1.80636
0.03110643	1.45379	1.74316	1.52273	1.47056	1.38044	1.43032	1.44866	1.40343	1.52743	1.3251	1.35043	1.4439	1.38074	1.50614	1.6874	1.5858	1.65834	1.5232	1.8641	1.77087
0.03293622	1.44915	1.72792	1.51405	1.46434	1.37381	1.42585	1.44174	1.39979	1.51799	1.32245	1.34843	1.44007	1.37995	1.48952	1.65778	1.56197	1.62537	1.4998	1.82404	1.72676
0.03476601	1.43734	1.7041	1.498	1.451	1.36079	1.41456	1.42785	1.38941	1.50132	1.31392	1.34047	1.42973	1.37258	1.46601	1.62133	1.5312	1.58617	1.47009	1.777	1.67558
0.0365958	1.41919	1.67292	1.47549	1.43139	1.34211	1.39721	1.40783	1.37302	1.47832	1.30005	1.32708	1.41349	1.35924	1.4367	1.57938	1.4947	1.54189	1.43495	1.7241	1.61877
0.03842559	1.39556	1.63557	1.44744	1.40635	1.31852	1.37461	1.38252	1.35142	1.44991	1.28143	1.30884	1.392	1.34059	1.40265	1.53314	1.45359	1.4936	1.39526	1.66642	1.55764
0.04025538	1.36728	1.5932	1.41475	1.37673	1.29077	1.34753	1.35277	1.32538	1.41698	1.25868	1.28633	1.36596	1.3173	1.36483	1.48371	1.40893	1.44228	1.35186	1.605	1.49335
0.04208517	1.33519	1.54689	1.37832	1.34338	1.25963	1.31676	1.31939	1.29566	1.38041	1.23241	1.26019	1.33605	1.29007	1.32413	1.43207	1.36164	1.38881	1.30554	1.54078	1.42694
0.04391496	1.30008	1.49766	1.33897	1.30708	1.22581	1.28306	1.28319	1.26301	1.34102	1.20325	1.23104	1.30295	1.25957	1.28138	1.37909	1.31259	1.334	1.25705	1.47464	1.35933
0.04574475	1.26272	1.44643	1.29753	1.26861	1.19003	1.24716	1.24491	1.22815	1.29961	1.17182	1.19948	1.26735	1.22645	1.23732	1.32553	1.26253	1.27856	1.20709	1.40738	1.29132
0.04757454	1.22382	1.39407	1.25471	1.22869	1.15293	1.20974	1.20525	1.19175	1.25691	1.13871	1.16612	1.22988	1.19134	1.19261	1.27204	1.21211	1.2231	1.15627	1.33971	1.2236
0.04940433	1.18403	1.34133	1.21121	1.18796	1.11514	1.17143	1.16486	1.15443	1.21358	1.10449	1.13152	1.19116	1.15486	1.14784	1.21919	1.16193	1.16817	1.10518	1.27225	1.15676
0.05123412	1.14397	1.28891	1.16766	1.14704	1.07722	1.13283	1.12433	1.11676	1.17023	1.06968	1.09622	1.15177	1.11756	1.10352	1.16746	1.11247	1.11424	1.05431	1.20557	1.0913
0.05306391	1.10418	1.2374	1.12459	1.10647	1.03967	1.09445	1.0842	1.07928	1.1274	1.03479	1.06072	1.11222	1.07996	1.0601	1.11725	1.06416	1.06169	1.00412	1.14014	1.02763
0.0548937	1.06513	1.18732	1.0825	1.06673	1.00295	1.05677	1.04494	1.04244	1.08558	1.00025	1.02549	1.07301	1.04253	1.01795	1.06889	1.01736	1.01086	0.954984	1.07638	0.966116
0.05672349	1.02726	1.13912	1.04182	1.02825	0.967461	1.02021	1.00695	1.00665	1.04517	0.966479	0.990931	1.03456	1.0057	0.977384	1.02266	0.972362	0.962017	0.907253	1.01462	0.907026
0.05855328	0.990928	1.09316	1.00291	0.991378	0.933543	0.985128	0.970596	0.972273	1.00654	0.933825	0.957418	0.997255	0.969835	0.938673	0.978764	0.929395	0.915379	0.861205	0.955174	0.85059
0.06038307	0.95644	1.04975	0.966075	0.95643	0.901485	0.951827	0.936164	0.939609	0.969966	0.902601	0.925271	0.961428	0.93527	0.902024	0.93736	0.888649	0.871114	0.817078	0.898261	0.796981
0.06221286	0.924051	1.00913	0.931552	0.923653	0.871523	0.920559	0.903898	0.908905	0.935698	0.873071	0.894765	0.927356	0.90228	0.867599	0.898569	0.850261	0.829348	0.775064	0.844072	0.746334
0.06404265	0.893959	0.971467	0.899534	0.893242	0.843844	0.891523	0.873987	0.880361	0.903918	0.845451	0.866128	0.89527	0.871098	0.835517	0.862465	0.81433	0.790169	0.735312	0.792747	0.698739
0.06587244	0.866314	0.936891	0.87016	0.865344	0.818583	0.86487	0.846569	0.854129	0.87476	0.819914	0.839542	0.865354	0.841908	0.805861	0.82909	0.780916	0.75363	0.697935	0.74439	0.654255
0.06770223	0.84122	0.905476	0.843525	0.840059	0.795836	0.840707	0.821741	0.830316	0.848313	0.796589	0.815145	0.837745	0.814853	0.778675	0.798451	0.750046	0.719753	0.663013	0.699066	0.612912
0.06953202	0.81874	0.877252	0.819679	0.817447	0.775656	0.819097	0.799557	0.808991	0.824626	0.775565	0.793037	0.812538	0.790034	0.753973	0.770532	0.721722	0.688533	0.630591	0.656811	0.574713
0.07136181	0.798897	0.852208	0.798634	0.797525	0.758059	0.800067	0.780032	0.790181	0.803707	0.756892	0.773274	0.789789	0.767516	0.731744	0.74529	0.695917	0.659943	0.600689	0.61763	0.539638
0.0731916	0.781683	0.830298	0.780369	0.78028	0.743029	0.783607	0.76315	0.773882	0.785534	0.740587	0.75588	0.769518	0.747328	0.711948	0.72266	0.672584	0.633934	0.573299	0.581506	0.507643
0.07502139	0.767054	0.811443	0.764833	0.765666	0.730519	0.769678	0.748865	0.760059	0.770051	0.726634	0.740845	0.751711	0.729468	0.694526	0.702563	0.651658	0.610439	0.54839	0.548396	0.478669
0.07685118	0.754943	0.79554	0.751949	0.753608	0.720459	0.758214	0.737102	0.74865	0.757179	0.714987	0.728128	0.736326	0.713905	0.679399	0.6849	0.633056	0.589376	0.525912	0.518238	0.452634
