Freq	14K_chi2	12K_chi2	10K_chi2	8K_chi2	5K_chi2	3K_chi2	14K_chi1	12K_chi1	10K_chi1	8K_chi1	5K_chi1	3K_chi1
0.2195745	0	0.000282864	0.000789723	0.000410164	0.00130021	0.00112345	0	0.000146066	0.000795824	0.00110819	0.000878161	0.000413204
0.2342128	0	0.000255457	0.000804798	0.000507425	0.00141162	0.00119435	0	0.000119201	0.000831995	0.00111143	0.000890802	0.000408964
0.2488511	0	0.000222185	0.000842401	0.000593777	0.0015163	0.00131068	0	0.000124225	0.000903873	0.00116258	0.000953587	0.000432405
0.2634894	0	0.000195305	0.000902717	0.000674706	0.0016071	0.00146603	0	0.000154724	0.000979935	0.00123971	0.00102657	0.000440163
0.2781277	0	0.000182874	0.000974572	0.000755443	0.00167486	0.00162696	0	0.000193509	0.00101569	0.00130926	0.00105998	0.00039207
0.292766	0	0.000189795	0.0010362	0.000838684	0.00170982	0.00174079	0	0.000215309	0.000977232	0.00133551	0.00101147	0.000272467
0.3074043	0	0.000216141	0.00106348	0.000920777	0.00170466	0.00176331	0	0.000198487	0.000864155	0.00129558	0.000869232	0.000106324
0.3220426	0	0.000254438	0.00104538	0.000990732	0.00165926	0.00169206	0	0.000141037	0.000714994	0.0011923	0.000666798	-5.07E-05
0.3366809	1.93E-18	0.000291067	0.000992812	0.0010358	0.00158357	0.00157184	0	6.48E-05	0.000580942	0.00105107	0.000465884	-0.000149924
0.3513192	0	0.000312912	0.000928912	0.00104909	0.00149368	0.00145928	0	5.54E-07	0.000490702	0.000905879	0.000319796	-0.00018321
0.3659575	0	0.000313655	0.000869747	0.00103259	0.00140348	0.00138129	0	-3.39E-05	0.000435855	0.000778136	0.000243388	-0.000181128
0.3805958	0	0.000296209	0.000817727	0.000994995	0.00132146	0.00132826	0	-4.23E-05	0.000390486	0.000672498	0.00021347	-0.000183356
0.3952341	-1.99E-18	0.000270424	0.000769644	0.000947946	0.00125369	0.00127843	0	-4.04E-05	0.00033571	0.000582728	0.000195225	-0.000214945
0.4098724	0	0.00024787	0.000725512	0.000902528	0.0012057	0.00122158	0	-4.23E-05	0.000269442	0.000500074	0.000163621	-0.000282259
0.4245107	0	0.000235611	0.000688931	0.000866538	0.00117963	0.00116381	0	-5.08E-05	0.000203323	0.000421389	0.000113951	-0.000374542
0.439149	0	0.000232957	0.000662254	0.000842353	0.00116995	0.00111693	0	-6.11E-05	0.000151506	0.000349069	5.64E-05	-0.000472713
0.4537873	0	0.000233074	0.000643258	0.000826911	0.00116389	0.00108594	0	-6.66E-05	0.000122493	0.000287726	3.90E-06	-0.00055745
0.4684256	0	0.000228151	0.000626114	0.000813368	0.00114699	0.00106457	0	-6.45E-05	0.000115972	0.000242696	-3.72E-05	-0.000616777
0.4830639	0	0.000214805	0.0006055	0.000794857	0.00111077	0.00104054	0	-5.70E-05	0.000123462	0.000213963	-6.90E-05	-0.000650531
0.4977022	0	0.000195682	0.000579741	0.00076779	0.00105666	0.00100444	0	-4.81E-05	0.00013487	0.00019876	-9.73E-05	-0.00066731
0.5123405	0	0.000177345	0.000551421	0.000733731	0.00099434	0.000955229	0	-3.99E-05	0.000142506	0.000191682	-0.000125833	-0.000677017
0.5269788	0	0.000166564	0.000525568	0.000698596	0.000935842	0.000899202	0	-3.42E-05	0.000143451	0.000187095	-0.000153765	-0.000685656
0.5416171	0	0.000167154	0.000506865	0.000669839	0.000889733	0.000844418	0	-3.06E-05	0.000140089	0.000181884	-0.000175966	-0.000691922
0.5562554	0	0.000178798	0.000497662	0.000652874	0.000858221	0.000795969	0	-3.00E-05	0.000136144	0.000173456	-0.000189172	-0.000693157
0.5708937	0	0.000197458	0.000497239	0.000648458	0.00083779	0.000754661	0	-3.29E-05	0.000134063	0.00016162	-0.000193011	-0.000689276
0.585532	0	0.000217069	0.000502333	0.00065228	0.000822319	0.000718764	0	-3.96E-05	0.000133832	0.000147166	-0.000191364	-0.000683255
0.6001703	0	0.000231775	0.000508516	0.000656899	0.000806178	0.000686181	0	-4.82E-05	0.000133815	0.000132498	-0.000187859	-0.000678262
0.6148086	0	0.000237988	0.000511792	0.000654928	0.000786036	0.000655347	0	-5.69E-05	0.000131637	0.00011905	-0.000185114	-0.000675155
0.6294469	0	0.000235054	0.000509745	0.000641876	0.000760703	0.000624831	0	-6.32E-05	0.000126546	0.000108317	-0.000182805	-0.000670237
0.6440852	0	0.000224647	0.000501703	0.000617482	0.000730221	0.000593181	0	-6.62E-05	0.000119281	9.90E-05	-0.000180455	-0.000660232
0.6587235	0	0.000209449	0.000488357	0.000585289	0.000695593	0.000559976	0	-6.59E-05	0.000111493	9.01E-05	-0.000177891	-0.000643473
0.6733618	0	0.000192071	0.00047119	0.000550738	0.000658989	0.000527172	0	-6.33E-05	0.000105137	8.05E-05	-0.000176439	-0.000621397
0.6880001	0	0.00017491	0.000452139	0.000518721	0.000624026	0.000499315	0	-6.15E-05	0.000100839	7.02E-05	-0.000178784	-0.000598582
