F	chi1_3K	chi1_10K	chi1_15K	chi1_20K	chi1_25K	chi2_3K	chi2_10K	chi2_15K	chi2_20K	chi2_25K
0.22323438	0	-0.000766985	1.69E-05	0.00147179	-0.000244043	0	0.00130847	0.00157218	0.00173396	0.00492377
0.22506417	0	-0.000785867	3.41E-06	0.00142831	-0.000319074	0	0.00127443	0.00155387	0.00174676	0.00490167
0.22689396	0	-0.000802658	-1.00E-05	0.00138568	-0.000393342	0	0.00124095	0.00153505	0.00175765	0.0048763
0.22872375	0	-0.000817363	-2.36E-05	0.00134375	-0.000466531	0	0.00120838	0.00151594	0.00176688	0.00484773
0.23055354	0	-0.000830304	-3.72E-05	0.00130252	-0.00053912	0	0.0011767	0.00149667	0.00177452	0.00481615
0.23238333	0	-0.000841325	-5.09E-05	0.00126198	-0.000610159	0	0.00114597	0.00147711	0.00178062	0.00478162
0.23421312	0	-0.000850907	-6.50E-05	0.00122215	-0.000680288	0	0.00111631	0.00145746	0.00178528	0.0047442
0.23604291	0	-0.000858895	-7.96E-05	0.00118269	-0.000749037	0	0.00108779	0.00143772	0.00178852	0.00470394
0.2378727	0.00E+00	-0.000865292	-9.39E-05	0.0011444	-0.000816096	-5.78E-19	0.00106044	0.00141794	0.00179044	0.00466101
0.23970249	0	-0.000870259	-0.000108761	0.00110665	-0.000881473	0	0.00103441	0.0013982	0.00179103	0.00461548
0.24153228	0.00E+00	-0.000874117	-0.000124367	0.00106943	-0.000945492	-5.78E-19	0.00100969	0.00137844	0.00179034	0.00456739
0.24336207	0	-0.000877027	-0.000140114	0.0010329	-0.00100753	0	0.000986315	0.00135868	0.00178831	0.00451676
0.24519186	0.00E+00	-0.000878832	-0.000156478	0.000996903	-0.00106743	5.77E-19	0.000964264	0.00133893	0.00178494	0.0044637
0.24702165	0	-0.00087985	-0.000173304	0.000961746	-0.00112537	0	0.000943591	0.00131919	0.00178025	0.00440826
0.24885144	0	-0.000880082	-0.00019075	0.000927111	-0.00118119	0	0.000924297	0.00129945	0.00177416	0.00435044
0.25068123	0	-0.000879847	-0.000208818	0.000893314	-0.00123443	0	0.000906417	0.00127967	0.00176673	0.00429047
0.25251102	0	-0.000879144	-0.00022735	0.000859873	-0.00128525	0	0.000889909	0.00125984	0.00175788	0.00422832
0.25434081	0	-0.000878131	-0.000246507	0.00082774	-0.00133319	0	0.00087478	0.00123987	0.00174754	0.00416402
0.2561706	0	-0.000877127	-0.000266447	0.000795957	-0.00137872	0	0.000861077	0.00121986	0.00173584	0.00409779
0.25800039	0	-0.000875812	-0.000286697	0.000765315	-0.00142092	0	0.000848657	0.00119959	0.00172267	0.00402965
0.25983018	0	-0.00087482	-0.00030789	0.000735336	-0.00146056	0	0.000837616	0.00117915	0.00170801	0.0039597
0.26165997	0	-0.000873834	-0.000329236	0.000706491	-0.00149657	0	0.000827746	0.00115836	0.00169191	0.00388806
0.26348976	0	-0.000873011	-0.000351054	0.00067846	-0.00152956	0	0.000819093	0.00113725	0.00167437	0.00381487
0.26531955	0	-0.000872825	-0.000373343	0.000651558	-0.00155908	0	0.000811701	0.0011158	0.00165545	0.00374026
0.26714934	0	-0.000872959	-0.000395947	0.000625939	-0.00158513	0	0.000805374	0.00109389	0.0016351	0.00366427
0.26897913	0	-0.000873727	-0.000418867	0.000601126	-0.00160787	0	0.000800156	0.00107152	0.00161351	0.00358722
0.27080892	0	-0.000874971	-0.000441788	0.000577748	-0.00162684	0	0.000795883	0.00104865	0.00159062	0.00350907
0.27263871	0	-0.000877007	-0.000465028	0.000555329	-0.00164219	0	0.000792623	0.00102524	0.00156659	0.0034301
0.2744685	0	-0.000879676	-0.000488114	0.000534658	-0.00165378	0	0.000790224	0.00100126	0.00154147	0.00335044
0.27629829	0	-0.000883451	-0.000511048	0.000514939	-0.00166177	0	0.00078863	0.000976712	0.00151539	0.00327018
0.27812808	0.00E+00	-0.000887541	-0.000533515	0.000497121	-0.00166585	5.76E-19	0.000787748	0.000951494	0.00148838	0.00318953
0.27995787	0	-0.000892738	-0.000555834	0.000480251	-0.00166648	0	0.000787503	0.000925691	0.00146066	0.00310867
0.28178766	0	-0.000898724	-0.000577533	0.000465118	-0.0016629	0	0.00078785	0.000899252	0.00143232	0.00302772
0.28361745	0	-0.000905341	-0.000598298	0.000451563	-0.00165574	0	0.000788753	0.000872258	0.00140348	0.00294692
0.28544724	0	-0.000912749	-0.000618605	0.000439425	-0.00164499	0	0.000789993	0.000844611	0.00137431	0.00286637
0.28727703	0	-0.000921105	-0.000637824	0.00042886	-0.00163019	0	0.000791622	0.000816451	0.00134498	0.00278626
0.28910682	0.00E+00	-0.000930411	-0.000655958	0.00041971	-0.00161229	-1.15E-18	0.000793466	0.000787743	0.00131561	0.00270676
