Temp	F0.41	F0.45	F0.50	F0.55	F0.60	F0.70	F0.75	F0.80	F0.85	F0.90	F0.41_er	F0.45_er	F0.50_er	F0.55_er	F0.60_er	F0.70_er	F0.75_er	F0.80_er	F0.85_er	F0.90_er
3	0.522148	0.53032	0.518467	0.473129	0.448137	0.413667	0.382658	0.347971	0.319966	0.282644	0.000699259	0.000426096	1.55E-05	0.000288719	0.00131675	0.00107976	0.0019121	0.00241434	0.00264832	0.00310797
5	0.522255	0.529753	0.517707	0.472606	0.447081	0.412367	0.381838	0.347439	0.319334	0.282603	0.000699403	0.000425641	1.55E-05	0.000288399	0.00131364	0.00107636	0.001908	0.00241065	0.00264309	0.00310751
8	0.524564	0.532513	0.520518	0.47453	0.448567	0.413332	0.382855	0.348916	0.320565	0.283531	0.000702495	0.000427859	1.56E-05	0.000289574	0.00131801	0.00107888	0.00191309	0.0024209	0.00265328	0.00311772
10	0.526016	0.534113	0.522267	0.476028	0.44995	0.413971	0.383239	0.348659	0.320322	0.282282	0.000704439	0.000429144	1.56E-05	0.000290488	0.00132207	0.00108055	0.00191501	0.00241912	0.00265127	0.00310399
12	0.530034	0.53789	0.525891	0.479185	0.452625	0.416708	0.385721	0.350718	0.322248	0.284979	0.00070982	0.000432179	1.57E-05	0.000292414	0.00132994	0.0010877	0.00192741	0.0024334	0.00266721	0.00313364
14	0.532171	0.539913	0.52786	0.48072	0.454634	0.418408	0.387107	0.352056	0.323247	0.285024	0.000712682	0.000433804	1.58E-05	0.000293351	0.00133584	0.00109213	0.00193434	0.00244268	0.00267548	0.00313414
16	0.528585	0.536923	0.525163	0.479593	0.453287	0.417373	0.386779	0.352954	0.324079	0.284781	0.00070788	0.000431402	1.57E-05	0.000292663	0.00133188	0.00108943	0.00193269	0.00244892	0.00268236	0.00313146
18	0.531064	0.539555	0.528395	0.482985	0.456398	0.420055	0.389391	0.355806	0.326911	0.28749	0.000711199	0.000433516	1.58E-05	0.000294733	0.00134102	0.00109643	0.00194575	0.00246871	0.00270581	0.00316126
20	0.527179	0.536588	0.526341	0.481675	0.455551	0.419864	0.389354	0.355773	0.327113	0.287513	0.000705996	0.000431132	1.57E-05	0.000293934	0.00133853	0.00109593	0.00194556	0.00246847	0.00270747	0.0031615
22	0.528817	0.537921	0.527028	0.482193	0.456376	0.421056	0.390277	0.358219	0.329849	0.290002	0.000708191	0.000432204	1.58E-05	0.00029425	0.00134096	0.00109904	0.00195018	0.00248545	0.00273012	0.00318887
25	0.528688	0.537216	0.527765	0.483409	0.45698	0.422602	0.39277	0.361533	0.333196	0.293235	0.000708018	0.000431637	1.58E-05	0.000294992	0.00134273	0.00110308	0.00196263	0.00250844	0.00275782	0.00322442
30	0.521306	0.530013	0.520699	0.477558	0.452483	0.42021	0.391045	0.360373	0.332694	0.293054	0.000698132	0.00042585	1.56E-05	0.000291422	0.00132952	0.00109683	0.00195401	0.00250039	0.00275367	0.00322244
40	0.51279	0.521397	0.512017	0.468975	0.444203	0.412806	0.383944	0.354168	0.327328	0.288301	0.000686727	0.000418927	1.53E-05	0.000286184	0.00130519	0.00107751	0.00191853	0.00245734	0.00270926	0.00317017
