T\F	F0.35	F0.41	F0.45	F0.50	F0.55	F0.60	F0.66	F0.70	F0.75	F0.80	F0.85	F0.90
3	0.529846	0.522148	0.53032	0.518467	0.473129	0.448137	0.435512	0.413667	0.382658	0.347971	0.319966	0.282644
5	0.529638	0.522255	0.529753	0.517707	0.472606	0.447081	0.434085	0.412367	0.381838	0.347439	0.319334	0.282603
8	0.533375	0.524564	0.532513	0.520518	0.47453	0.448567	0.435111	0.413332	0.382855	0.348916	0.320565	0.283531
10	0.533777	0.526016	0.534113	0.522267	0.476028	0.44995	0.436225	0.413971	0.383239	0.348659	0.320322	0.282282
12	0.538874	0.530034	0.53789	0.525891	0.479185	0.452625	0.438955	0.416708	0.385721	0.350718	0.322248	0.284979
14	0.540971	0.532171	0.539913	0.52786	0.48072	0.454634	0.441133	0.418408	0.387107	0.352056	0.323247	0.285024
16	0.535921	0.528585	0.536923	0.525163	0.479593	0.453287	0.439563	0.417373	0.386779	0.352954	0.324079	0.284781
18	0.538588	0.531064	0.539555	0.528395	0.482985	0.456398	0.44255	0.420055	0.389391	0.355806	0.326911	0.28749
20	0.534417	0.527179	0.536588	0.526341	0.481675	0.455551	0.442108	0.419864	0.389354	0.355773	0.327113	0.287513
22	0.536849	0.528817	0.537921	0.527028	0.482193	0.456376	0.44372	0.421056	0.390277	0.358219	0.329849	0.290002
25	0.537358	0.528688	0.537216	0.527765	0.483409	0.45698	0.444306	0.422602	0.39277	0.361533	0.333196	0.293235
30	0.528132	0.521306	0.530013	0.520699	0.477558	0.452483	0.441247	0.42021	0.391045	0.360373	0.332694	0.293054
40	0.519893	0.51279	0.521397	0.512017	0.468975	0.444203	0.433416	0.412806	0.383944	0.354168	0.327328	0.288301
50	0.474601	0.464398	0.470551	0.460498	0.41441	0.39273	0.384387	0.359725	0.3313	0.311018	0.288934	0.254979
70	0.445024	0.432632	0.433053	0.419287	0.376041	0.354323	0.343803	0.318297	0.291249	0.274257	0.252541	0.222529
100	0.408612	0.394018	0.388877	0.373164	0.336275	0.313683	0.29838	0.273992	0.249508	0.234552	0.213919	0.187675
125	0.121485	0.09958	0.0796831	0.0687224	0.0569716	0.0463733	0.0333067	0.0316472	0.0291064	0.0195977	0.0170524	0.0133054
